write_delay,read_delay,w,r,write_ratio,delay,fault,repeat,requests,seconds,tps,successful_tps,success_rate,mean_ms,p95_ms,p99_ms,stale,stale_eligible,stale_rate,case
0,0,5,1,0.5,0,unreachable,0,120,2.1094352999934927,56.8872626718488,22.75490506873952,0.4,161.0678358313938,2043.1291999993846,2050.075699982699,0,0,,10
0,0,5,1,0.5,0,unreachable,1,120,2.1412436999962665,56.04219641146369,20.54880535087002,0.36666666666666664,230.49347583437338,2046.6184000251815,2062.2747000306845,0,0,,10
0,0,5,1,0.5,0,unreachable,2,120,2.185994600004051,54.89492060034257,21.043052896797988,0.38333333333333336,246.91640916668499,2040.162599994801,2051.1822000262327,0,0,,10
